State/federal,Total,Male,Female,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report,Rated Capacity,Operational Capacity,Design Capacity ,Custody population,Lowest capacity,Highest capacity,Held in private prisons,Held in local jails,Total of Non-US residents sentenced 2019,Male non- US residents sentenced 2019,Female non- US residents sentenced 2019,2019 Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Male Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Female Non-U.S. citizen prisoners sentenced to more than 1 year ,Total Imprisonment rates per 100000 in 2019,Male imprisonment rate 2019,Female imprisonment rate 2019,Age 18 or older imprisonment rate 2019,Total of minors in custody in pulic private or federal custody,Total male minors,Total female minors
Ohio/f,"50,338","46,072","4,266","25,679","13,184","6,689","2,003","2,978",89,31,0,47,12,646,"17,549","19,614","17,549","18,758",106.9,95.6,"6,766",0,463,446,17,0,0,0,430,803,72,552,36,35,1
Oklahoma,"25,338","22,755","2,583","14,961","10,757","1,436","2,020",479,224,45,0,0,0,0,"14,712","15,612","14,712","14,412",98,92.3,"6,474",9,483,468,15,482,467,15,639,"1,158",129,840,9,8,1
Oregon/g,"14,943","13,726","1,217","45,702","20,086","20,846","4,378",38,125,0,0,0,229,0,"51,157","46,359",0,"44,871",96.8,87.7,0,0,"1,473",0,0,"1,473",0,0,353,654,57,443,0,0,0
Pennsylvania,"45,485","42,724","2,761","2,740","1,142",782,713,25,37,0,0,41,0,0,"3,989","3,790","3,977","2,587",68.3,64.9,511,0,"2,543","2,493",50,"2,531","2,482",49,355,680,42,447,9,9,0
Rhode Island/c,"1,656","1,598",58,"18,608","6,950","10,993",492,29,19,1,0,123,1,0,0,"21,586",0,"18,123",84,84,0,0,0,0,0,0,0,0,156,309,11,193,0,0,0
South Carolina,"18,295","17,058","1,237","3,801","1,998",289,143,"1,336",22,2,0,11,0,0,0,"4,397",0,"3,763",85.6,85.6,84,346,413,402,11,411,400,11,353,680,46,450,23,22,1
South Dakota,"3,797","3,237",560,"26,349","14,633","11,012",590,46,68,0,0,0,0,0,"15,978","15,554",0,"11,711",75.3,73.3,33,1,90,85,5,89,84,5,428,722,127,566,0,0,0
Tennessee,"26,349","23,615","2,734","158,429","53,597","51,584","52,344",82,604,0,0,218,0,0,"155,634","149,605","155,634","133,496",89.2,85.8,"7,635","7,048",479,458,21,479,458,21,384,705,78,493,9,9,0
Texas,"154,479","141,830","12,649","6,665","4,048",471,"1,295",366,71,146,0,0,268,0,0,"6,771","7,127","5,102",75.4,71.6,"12,516","12,055","8,234","8,042",192,"8,177","7,988",189,529,978,86,709,38,34,4
Utah/e,"6,662","6,080",582,"1,608","1,386",141,0,16,5,1,0,0,59,0,"1,546","1,546","1,568","1,396",90.3,89,0,"1,506",357,348,9,357,348,9,206,373,36,290,3,3,0
"Vermont/c,h","1,137","1,052",85,"36,091","15,005","19,808","1,071",26,159,0,0,0,22,0,0,"29,222",0,"27,801",95.1,95.1,268,0,2,1,1,2,1,1,182,341,27,223,1,1,0
Virginia,"36,091","33,090","3,001","19,261","11,262","3,275","2,698","1,048",769,0,0,69,140,0,0,"16,976",0,"17,882",105.3,105.3,"1,540","6,750","1,971","1,922",49,"1,971","1,922",49,422,786,69,539,12,11,1
Washington,"19,184","17,565","1,619","6,800","5,819",875,45,5,7,1,48,0,0,0,"5,910","6,241","5,910","5,910",100,94.7,0,196,716,701,15,716,701,15,250,458,42,320,5,5,0
West Virginia,"6,800","5,979",821,"23,956","10,815","10,003","1,871",972,282,0,0,0,13,0,0,"23,170","16,983","23,402",137.8,101,0,890,15,14,1,15,14,1,381,675,91,476,0,0,0
Wisconsin,"22,039","20,612","1,427","2,479","1,864",129,302,157,13,6,0,4,4,0,"2,288","2,288","2,407","1,980",86.5,82.3,0,511,491,479,12,464,453,11,378,710,49,482,0,0,0
Wyoming,"2,479","2,142",337,,,,,,,,,,,,,,,,,,401,81,62,60,2,62,60,2,428,726,118,556,0,0,0
American Samoa/c,196,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
Guam/d,559,,,,,,,,,,,,,,443,0,443,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,175,,,,,,,,,,,,,,559,325,559,,,,,,,,,,,,,,,,,,
Puerto Rico,"8,884",,,,,,,,,,,,,,"11,909","10,290","14,632",,,,,,,,,,,,,,,,,,
U.S. Virgin Islands/e,192,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
