Year,State,TotalsViolentAll
1960,Alabama,6097
1961,Alabama,5564
1962,Alabama,5283
1963,Alabama,6115
1964,Alabama,7260
1965,Alabama,6916
1966,Alabama,8098
1967,Alabama,8448
1968,Alabama,8288
1969,Alabama,8842
1970,Alabama,10185
1971,Alabama,10835
1972,Alabama,10994
1973,Alabama,12390
1974,Alabama,13338
1975,Alabama,14201
1976,Alabama,14248
1977,Alabama,15293
1978,Alabama,15682
1979,Alabama,15578
1980,Alabama,17320
1981,Alabama,18423
1982,Alabama,17653
1983,Alabama,16471
1984,Alabama,17204
1985,Alabama,18398
1986,Alabama,22616
1987,Alabama,22833
1988,Alabama,23052
1989,Alabama,24329
1990,Alabama,28630
1991,Alabama,34518
1992,Alabama,36052
1993,Alabama,32676
1994,Alabama,28844
1995,Alabama,26894
1996,Alabama,24159
1997,Alabama,24379
1998,Alabama,22286
1999,Alabama,21421
2000,Alabama,21620
2001,Alabama,19582
2002,Alabama,19931
2003,Alabama,19331
2004,Alabama,19324
2005,Alabama,19678
2006,Alabama,19553
2007,Alabama,20775
2008,Alabama,21110
2009,Alabama,21194
2010,Alabama,18363
2011,Alabama,20166
2012,Alabama,21693
1960,Alaska,236
1961,Alaska,208
1962,Alaska,225
1963,Alaska,272
1964,Alaska,375
1965,Alaska,377
1966,Alaska,409
1967,Alaska,437
1968,Alaska,486
1969,Alaska,624
1970,Alaska,840
1971,Alaska,1112
1972,Alaska,1204
1973,Alaska,1269
1974,Alaska,1527
1975,Alaska,1900
1976,Alaska,2063
1977,Alaska,1804
1978,Alaska,1781
1979,Alaska,1994
1980,Alaska,1919
1981,Alaska,2537
1982,Alaska,2732
1983,Alaska,2940
1984,Alaska,3108
1985,Alaska,3031
1986,Alaska,3046
1987,Alaska,2391
1988,Alaska,2682
1989,Alaska,2623
1990,Alaska,2885
1991,Alaska,3499
1992,Alaska,3877
1993,Alaska,4557
1994,Alaska,4644
1995,Alaska,4656
1996,Alaska,4417
1997,Alaska,4270
1998,Alaska,4015
1999,Alaska,3908
2000,Alaska,3554
2001,Alaska,3735
2002,Alaska,3627
2003,Alaska,3877
2004,Alaska,4159
2005,Alaska,4194
2006,Alaska,4610
2007,Alaska,4520
2008,Alaska,4475
2009,Alaska,4424
2010,Alaska,4537
2011,Alaska,4416
2012,Alaska,4412
1960,Arizona,2704
1961,Arizona,2288
1962,Arizona,2610
1963,Arizona,3027
1964,Arizona,3368
1965,Arizona,3092
1966,Arizona,3272
1967,Arizona,3892
1968,Arizona,4402
1969,Arizona,5742
1970,Arizona,6564
1971,Arizona,7407
1972,Arizona,8731
1973,Arizona,9877
1974,Arizona,12202
1975,Arizona,12184
1976,Arizona,10335
1977,Arizona,11347
1978,Arizona,12996
1979,Arizona,14528
1980,Arizona,17673
1981,Arizona,16082
1982,Arizona,14785
1983,Arizona,14642
1984,Arizona,15756
1985,Arizona,19202
1986,Arizona,21835
1987,Arizona,20742
1988,Arizona,21147
1989,Arizona,21320
1990,Arizona,23911
1991,Arizona,25152
1992,Arizona,25706
1993,Arizona,28142
1994,Arizona,28653
1995,Arizona,30095
1996,Arizona,27963
1997,Arizona,28411
1998,Arizona,26984
1999,Arizona,26334
2000,Arizona,27281
2001,Arizona,28675
2002,Arizona,30171
2003,Arizona,28638
2004,Arizona,28952
2005,Arizona,30478
2006,Arizona,33456
2007,Arizona,32835
2008,Arizona,31567
2009,Arizona,28128
2010,Arizona,26528
2011,Arizona,26789
2012,Arizona,28108
1960,Arkansas,1924
1961,Arkansas,1809
1962,Arkansas,1667
1963,Arkansas,1991
1964,Arkansas,2641
1965,Arkansas,2662
1966,Arkansas,3185
1967,Arkansas,4320
1968,Arkansas,4360
1969,Arkansas,4390
1970,Arkansas,4276
1971,Arkansas,4680
1972,Arkansas,4840
1973,Arkansas,5905
1974,Arkansas,6521
1975,Arkansas,7369
1976,Arkansas,6410
1977,Arkansas,6924
1978,Arkansas,7522
1979,Arkansas,7984
1980,Arkansas,7656
1981,Arkansas,7119
1982,Arkansas,7438
1983,Arkansas,6930
1984,Arkansas,7549
1985,Arkansas,8199
1986,Arkansas,9365
1987,Arkansas,9839
1988,Arkansas,10237
1989,Arkansas,11397
1990,Arkansas,12511
1991,Arkansas,14072
1992,Arkansas,13831
1993,Arkansas,14381
1994,Arkansas,14598
1995,Arkansas,13741
1996,Arkansas,13161
1997,Arkansas,13293
1998,Arkansas,12442
1999,Arkansas,10848
2000,Arkansas,11904
2001,Arkansas,12190
2002,Arkansas,11501
2003,Arkansas,12449
2004,Arkansas,13814
2005,Arkansas,14670
2006,Arkansas,15538
2007,Arkansas,15226
2008,Arkansas,14649
2009,Arkansas,14905
2010,Arkansas,14711
2011,Arkansas,14173
2012,Arkansas,13835
1960,California,37558
1961,California,38154
1962,California,39846
1963,California,42419
1964,California,48026
1965,California,52490
1966,California,57718
1967,California,67446
1968,California,81293
1969,California,89878
1970,California,94741
1971,California,104872
1972,California,110667
1973,California,116563
1974,California,127658
1975,California,138842
1976,California,144041
